en,zh,assigned_domain,confidence,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,annotation
escalator,自動梯,civil,0.5714,accessory [criminal] sim=0.595,aider by pleading over [procedure] sim=0.591,trespasser [civil] sim=0.588,sitting tenant [civil] sim=0.583,mispleading [procedure] sim=0.583,trespass quare clausum fregit [civil] sim=0.582,underlease [civil] sim=0.581,
estimated,預計,civil,0.5714,extortionate [criminal] sim=0.675,mortgaged [civil] sim=0.666,overtime [labor_social] sim=0.663,pledged [civil] sim=0.659,distorted [civil] sim=0.659,penalty [criminal] sim=0.656,leased [civil] sim=0.652,
estranged,失和,civil,0.5714,divorcement [civil] sim=0.705,inadmissible [procedure] sim=0.704,ex-tenant [civil] sim=0.682,unleased [civil] sim=0.674,rescission [civil] sim=0.673,reconciliation [procedure] sim=0.673,nonjoinder [procedure] sim=0.670,
evict,逐出,civil,0.5714,landlord [civil] sim=0.738,tenant [civil] sim=0.730,ex-tenant [civil] sim=0.725,extortionate [criminal] sim=0.719,disenfranchise [constitutional] sim=0.715,sublease [civil] sim=0.706,extortion [criminal] sim=0.692,
exceed,超逾,civil,0.5714,distort [civil] sim=0.691,extortionate [criminal] sim=0.683,overtime [labor_social] sim=0.659,mispleading [procedure] sim=0.648,underlease [civil] sim=0.647,distortion [civil] sim=0.644,trespass [civil] sim=0.644,
exchange company,交易所,civil,0.5714,employer [labor_social] sim=0.620,beneficiary [civil] sim=0.605,employee [labor_social] sim=0.603,co-tenant [civil] sim=0.601,envoy [international] sim=0.600,restitutionary [civil] sim=0.599,co-surety [civil] sim=0.597,
exhaust,窮竭,civil,0.5714,nuisance [civil] sim=0.656,distortion [civil] sim=0.652,unleased [civil] sim=0.651,accessory [criminal] sim=0.644,hearsay [procedure] sim=0.640,summons [procedure] sim=0.635,distorted [civil] sim=0.625,
exhaustive,並無遺漏,civil,0.5714,patentable [civil] sim=0.674,extortionate [criminal] sim=0.635,patently [civil] sim=0.634,intestate [civil] sim=0.633,patented [civil] sim=0.626,discovery [procedure] sim=0.625,disclosure [procedure] sim=0.623,
exit,出境點,civil,0.5714,dismissal [labor_social] sim=0.721,succession [civil] sim=0.668,acquittal [criminal] sim=0.665,divorcement [civil] sim=0.657,asylum [international] sim=0.654,divorce [civil] sim=0.653,unleased [civil] sim=0.653,
expedite,加快……法律程序,civil,0.5714,extortionate [criminal] sim=0.731,extortion [criminal] sim=0.674,executory [civil] sim=0.668,inchoate [criminal] sim=0.664,underlease [civil] sim=0.658,repledge [civil] sim=0.652,testate [civil] sim=0.650,
expend,耗用,civil,0.5714,extortionate [criminal] sim=0.735,underlease [civil] sim=0.701,extortion [criminal] sim=0.700,beneficiary [civil] sim=0.677,overtime [labor_social] sim=0.674,unleased [civil] sim=0.668,executory [civil] sim=0.666,
explicitly,明確告知,civil,0.5714,disclosure [procedure] sim=0.651,patently [civil] sim=0.651,contractually [civil] sim=0.644,constitute [constitutional] sim=0.644,admissible [procedure] sim=0.629,pledged [civil] sim=0.626,unleased [civil] sim=0.625,
expressed,明示有爭論點提出,civil,0.5714,mortgaged [civil] sim=0.664,pledged [civil] sim=0.663,distorted [civil] sim=0.653,unleased [civil] sim=0.652,constitute [constitutional] sim=0.645,staged disclosure [procedure] sim=0.644,labour [labor_social] sim=0.643,
extended,延長限期,civil,0.5714,mortgaged [civil] sim=0.710,pledged [civil] sim=0.703,distorted [civil] sim=0.690,constitute [constitutional] sim=0.685,unleased [civil] sim=0.681,labour [labor_social] sim=0.680,overtime [labor_social] sim=0.673,
extensive,大幅扣減刑期,civil,0.5714,admissible [procedure] sim=0.657,administrative [administrative] sim=0.653,disclosure [procedure] sim=0.647,patentable [civil] sim=0.635,intestate [civil] sim=0.626,patented [civil] sim=0.620,innovation [civil] sim=0.616,
fabrication,揑造,civil,0.5714,forgery [criminal] sim=0.736,labouring [labor_social] sim=0.645,misrepresentation [civil] sim=0.642,distort [civil] sim=0.641,patent [civil] sim=0.640,reconstitute [constitutional] sim=0.640,innovation [civil] sim=0.639,
facilitator,促進人,civil,0.5714,appurtenant [civil] sim=0.710,fiduciary [civil] sim=0.645,tortfeasor [civil] sim=0.644,guarantor [civil] sim=0.644,employee [labor_social] sim=0.643,mediation [procedure] sim=0.642,joinder [procedure] sim=0.638,
faithfully,忠誠地,civil,0.5714,contractually [civil] sim=0.754,patently [civil] sim=0.739,criminally [criminal] sim=0.721,Covenant [international] sim=0.708,covenant [international] sim=0.708,pledge [civil] sim=0.694,pledged [civil] sim=0.675,
Family Court of Australia,澳洲家事法院,civil,0.5714,legal custody [civil] sim=0.558,Court of First Instance [procedure] sim=0.556,divorce [civil] sim=0.555,appellate court [procedure] sim=0.551,Patents Court [civil] sim=0.522,appellate [procedure] sim=0.520,alimony [civil] sim=0.516,
Fidelity Fund,互保基金,civil,0.5714,provident fund [labor_social] sim=0.739,Employees Compensation Assistance Fund [labor_social] sim=0.630,Residual Provident Fund Scheme [labor_social] sim=0.624,Land Titles Indemnity Fund [civil] sim=0.607,suretyship [civil] sim=0.606,trusteeship [civil] sim=0.593,trustee [civil] sim=0.586,
financial eligibility limit,財務資格限額,civil,0.5714,limitation period [procedure] sim=0.680,sub-mortgage [civil] sim=0.626,Employees Compensation Assistance Fund [labor_social] sim=0.609,beneficiary [civil] sim=0.600,non-employer [labor_social] sim=0.599,mortgage [civil] sim=0.596,on indemnity basis [civil] sim=0.592,
find,裁斷……罪名成立,civil,0.5714,discovery [procedure] sim=0.754,patent [civil] sim=0.665,patently [civil] sim=0.649,patented [civil] sim=0.646,innovation [civil] sim=0.644,murder [criminal] sim=0.637,employer [labor_social] sim=0.633,
fix,申請編定審訊日期,civil,0.5714,repledge [civil] sim=0.706,distort [civil] sim=0.703,reconstitute [constitutional] sim=0.698,freedom [constitutional] sim=0.678,distorted [civil] sim=0.676,recidivism [criminal] sim=0.675,patent [civil] sim=0.669,
floor,樓層號數,civil,0.5714,underlease [civil] sim=0.665,laboratory [labor_social] sim=0.661,landlord [civil] sim=0.655,tenant [civil] sim=0.654,stratification [international] sim=0.647,sitting tenant [civil] sim=0.641,labour [labor_social] sim=0.637,
foresee,預見,civil,0.5714,underlease [civil] sim=0.658,distort [civil] sim=0.643,pre-sentencing [criminal] sim=0.639,constitute [constitutional] sim=0.635,discovery [procedure] sim=0.635,valuable consideration [civil] sim=0.627,unleased [civil] sim=0.623,
forthwith,隨即,civil,0.5714,patently [civil] sim=0.674,constitute [constitutional] sim=0.663,pledged [civil] sim=0.662,pledge [civil] sim=0.660,sovereignty [constitutional] sim=0.655,testamentary [civil] sim=0.654,sovereign [constitutional] sim=0.651,
found,結婚及成立家庭之權利,civil,0.5714,discovery [procedure] sim=0.758,patented [civil] sim=0.703,mortgaged [civil] sim=0.699,unleased [civil] sim=0.681,leased [civil] sim=0.681,reconstitute [constitutional] sim=0.675,accused [criminal] sim=0.674,
fraudulently,以欺詐手段,civil,0.5714,criminally [criminal] sim=0.819,conspiracy to defraud [criminal] sim=0.749,negligent misrepresentation [civil] sim=0.733,duplicitous pleading [procedure] sim=0.716,inadvertent negligence [civil] sim=0.712,misrepresentation [civil] sim=0.711,innocent misrepresentation [civil] sim=0.710,
freely,自願,civil,0.5714,freedom [constitutional] sim=0.823,unleased [civil] sim=0.708,stateless [international] sim=0.705,unpatented [civil] sim=0.703,patentable [civil] sim=0.680,without interruption by the landlord [civil] sim=0.653,reconstitute [constitutional] sim=0.647,
funeral,殯殮,civil,0.5714,adoption [civil] sim=0.694,probate [civil] sim=0.691,murder [criminal] sim=0.682,labour [labor_social] sim=0.674,homicide [criminal] sim=0.672,divorce [civil] sim=0.662,executory [civil] sim=0.653,
Futures Exchange Company,期交所,civil,0.5714,executorship [civil] sim=0.575,leaseholder [civil] sim=0.574,executory [civil] sim=0.574,employer [labor_social] sim=0.573,beneficiary [civil] sim=0.572,conventional [international] sim=0.568,pacta sunt servanda [international] sim=0.566,
gale,烈風警告,civil,0.5714,labour [labor_social] sim=0.643,executory [civil] sim=0.622,unleased [civil] sim=0.618,sovereign [constitutional] sim=0.617,labouring [labor_social] sim=0.617,executor [civil] sim=0.613,underlease [civil] sim=0.612,
gangway,過道,civil,0.5714,bailment [civil] sim=0.624,labour [labor_social] sim=0.585,protocol [international] sim=0.583,trespass [civil] sim=0.579,leasehold [civil] sim=0.577,trespass quare clausum fregit [civil] sim=0.577,mispleading [procedure] sim=0.577,
genuine,真實關係,civil,0.5714,admissible [procedure] sim=0.700,innocent misrepresentation [civil] sim=0.684,disclosure [procedure] sim=0.680,conventional [international] sim=0.678,tenantable [civil] sim=0.674,patentable [civil] sim=0.672,unpatented [civil] sim=0.666,
given,取名,civil,0.5714,pledged [civil] sim=0.739,mortgaged [civil] sim=0.709,constitute [constitutional] sim=0.697,extortionate [criminal] sim=0.690,equality [constitutional] sim=0.683,beneficiary [civil] sim=0.682,pledge [civil] sim=0.680,
godparent,誼父母,civil,0.5714,beneficiary [civil] sim=0.652,fiduciary [civil] sim=0.644,ex parte materna [procedure] sim=0.642,succession [civil] sim=0.642,adoption [civil] sim=0.642,Head of State [constitutional] sim=0.639,approbation [criminal] sim=0.634,
government bond,政府債券,civil,0.5714,Government Laboratory [labor_social] sim=0.665,suretyship [civil] sim=0.633,pacta sunt servanda [international] sim=0.633,mortgaged [civil] sim=0.631,surety [civil] sim=0.629,sovereign state [constitutional] sim=0.628,leasehold [civil] sim=0.622,
graduated,漸進稅率,civil,0.5714,mortgaged [civil] sim=0.701,pledged [civil] sim=0.697,unleased [civil] sim=0.670,accession [international] sim=0.660,dismissal [labor_social] sim=0.659,conviction [criminal] sim=0.656,patented [civil] sim=0.650,
grave,嚴重程序錯誤,civil,0.5714,executory [civil] sim=0.696,penal [criminal] sim=0.672,laboratory [labor_social] sim=0.668,intestate [civil] sim=0.665,die intestate [civil] sim=0.655,testamentary [civil] sim=0.654,manslaughter [criminal] sim=0.651,
habitation,居住,civil,0.5714,tenant [civil] sim=0.734,trespass [civil] sim=0.697,trespasser [civil] sim=0.695,covenant [international] sim=0.694,Covenant [international] sim=0.694,tenantable [civil] sim=0.684,labouring [labor_social] sim=0.680,
habitually,慣常居於,civil,0.5714,criminally [criminal] sim=0.689,contractually [civil] sim=0.669,patently [civil] sim=0.660,tenantable [civil] sim=0.650,leased [civil] sim=0.634,probationary [criminal] sim=0.633,conventional [international] sim=0.629,
haircut,扣減,civil,0.5714,underlease [civil] sim=0.626,accessory [criminal] sim=0.609,employee [labor_social] sim=0.603,unleased [civil] sim=0.601,distorted [civil] sim=0.600,freedom [constitutional] sim=0.599,distortion [civil] sim=0.596,
halfblood,半血親,civil,0.5714,manslaughter [criminal] sim=0.599,underlease [civil] sim=0.598,mispleading [procedure] sim=0.596,misjoinder [procedure] sim=0.589,unleased [civil] sim=0.589,trespasser [civil] sim=0.587,distortion [civil] sim=0.586,
half-brother,同父異母的兄弟姐妹及同母異父的兄弟姐妹,civil,0.5714,beneficiary [civil] sim=0.635,inheritance [civil] sim=0.624,bilateral [international] sim=0.618,manslaughter [criminal] sim=0.614,adoption [civil] sim=0.607,testamentary [civil] sim=0.607,mens rea [criminal] sim=0.606,
heritage,文物,civil,0.5714,inheritance [civil] sim=0.705,freedom [constitutional] sim=0.684,citizenship [constitutional] sim=0.663,adoption [civil] sim=0.657,innovation [civil] sim=0.651,constitution [constitutional] sim=0.645,probate [civil] sim=0.635,
hostel,低度照顧安老院,civil,0.5714,refugee [international] sim=0.675,landlord [civil] sim=0.652,leased [civil] sim=0.641,bailment [civil] sim=0.632,robbery [criminal] sim=0.630,asylum [international] sim=0.628,under-lease [civil] sim=0.619,
ill-treat,惡待,civil,0.5714,extortionate [criminal] sim=0.704,extortion [criminal] sim=0.701,indemnity [civil] sim=0.695,nuisance [civil] sim=0.675,torture [civil] sim=0.671,distort [civil] sim=0.666,asylum [international] sim=0.665,
implement,執行政策,civil,0.5714,innovation [civil] sim=0.701,criminalise [criminal] sim=0.699,constitute [constitutional] sim=0.696,underlease [civil] sim=0.677,distort [civil] sim=0.676,repledge [civil] sim=0.674,legislation [constitutional] sim=0.658,
imply,隱含特許,civil,0.5714,distort [civil] sim=0.713,constitute [constitutional] sim=0.702,extortionate [criminal] sim=0.675,patently [civil] sim=0.672,pledge [civil] sim=0.671,testate [civil] sim=0.670,conspiracy [criminal] sim=0.661,
importer,進口人,civil,0.5714,envoy [international] sim=0.711,franchiser [constitutional] sim=0.644,surrejoinder [procedure] sim=0.639,guarantor [civil] sim=0.638,appurtenant [civil] sim=0.637,executor [civil] sim=0.635,landlord [civil] sim=0.635,
imprecise,用詞有欠精確,civil,0.5714,distorted [civil] sim=0.691,extortionate [criminal] sim=0.685,mispleading [procedure] sim=0.673,distort [civil] sim=0.662,misrepresentation [civil] sim=0.661,distortion [civil] sim=0.661,inchoate [criminal] sim=0.650,
impress,蓋上……印章,civil,0.5714,accused [criminal] sim=0.693,patently [civil] sim=0.691,testate [civil] sim=0.687,approbation [criminal] sim=0.681,testation [civil] sim=0.665,distort [civil] sim=0.664,indictment [criminal] sim=0.663,
in any way,在任何方面,civil,0.5714,contractually [civil] sim=0.662,patently [civil] sim=0.631,patentable [civil] sim=0.629,equality [constitutional] sim=0.625,criminally [criminal] sim=0.617,in consideration of [civil] sim=0.605,freedom [constitutional] sim=0.603,
in full,悉數預付,civil,0.5714,in camera [procedure] sim=0.663,pledged [civil] sim=0.643,unleased [civil] sim=0.643,distorted [civil] sim=0.630,disclosure [procedure] sim=0.629,mortgaged [civil] sim=0.623,in the first instance [procedure] sim=0.616,
in good faith,真誠地,civil,0.5714,suretyship [civil] sim=0.674,trusteeship [civil] sim=0.669,on indemnity basis [civil] sim=0.667,co-trustee [civil] sim=0.661,approbation [criminal] sim=0.658,burden of proof [procedure] sim=0.656,Deed of Mutual Covenant [international] sim=0.656,
in right of,依據……所賦予的權利,civil,0.5714,in the first instance [procedure] sim=0.686,constitute [constitutional] sim=0.660,in camera [procedure] sim=0.651,trespass quare clausum fregit [civil] sim=0.649,patently [civil] sim=0.649,in consideration of [civil] sim=0.644,succession [civil] sim=0.640,
in support of,賴以支持……,civil,0.5714,in consideration of [civil] sim=0.701,approbation [criminal] sim=0.700,pledge [civil] sim=0.687,pledged [civil] sim=0.652,attestation [civil] sim=0.650,constitute [constitutional] sim=0.631,legislation [constitutional] sim=0.630,
in the meantime,在此期間,civil,0.5714,in consideration of [civil] sim=0.674,gratification [international] sim=0.642,in camera [procedure] sim=0.637,pleading [procedure] sim=0.630,succession [civil] sim=0.630,post-release [civil] sim=0.628,underlease [civil] sim=0.627,
in the public interest,為公眾利益起見,civil,0.5714,in consideration of [civil] sim=0.673,eminent domain [administrative] sim=0.653,valuable consideration [civil] sim=0.638,in the first instance [procedure] sim=0.637,easement [civil] sim=0.636,in camera [procedure] sim=0.635,on indemnity basis [civil] sim=0.634,
inaccessible,不可觸及,civil,0.5714,inadmissible [procedure] sim=0.764,unconstitutional [constitutional] sim=0.669,stateless [international] sim=0.668,distorted [civil] sim=0.666,unpatented [civil] sim=0.638,tenantable [civil] sim=0.627,patentable [civil] sim=0.619,
incomplete,不完整,civil,0.5714,distorted [civil] sim=0.726,mispleading [procedure] sim=0.708,inadmissible [procedure] sim=0.675,unconstitutional [constitutional] sim=0.669,distortion [civil] sim=0.662,unleased [civil] sim=0.658,unpatented [civil] sim=0.655,
